Date,High,Low,Open,Close,Volume
16/10/20,146.15,144.47,145.4,144.71,5634821
15/10/20,144.96,142.84,143.09,144.53,4557421
14/10/20,146.53,143.76,146.4,143.94,6554539
13/10/20,146.6,144.36,144.68,146.23,7916288
12/10/20,145.39,143.02,143.02,144.25,6096005
09/10/20,143.34,141.56,141.66,142.78,4802885
08/10/20,142.09,141.12,141.51,141.36,4878011
07/10/20,141.55,140.25,141.26,140.89,5618996
06/10/20,142.94,140.25,141.87,140.63,7132823
05/10/20,142.19,141.07,141.29,141.8,4642737
02/10/20,143.1,140.13,142.34,140.5,8148375
01/10/20,144.38,140.26,140.8,143.08,14377639
30/09/20,141.74,137.2,137.39,139.91,11582185
29/09/20,138.14,136.39,137.25,137.14,9224037
28/09/20,138.05,136.72,137.16,137.25,6876969
25/09/20,137.54,135.96,136.52,137.27,7485518
24/09/20,137.79,135.07,135.73,136.7,9734787
23/09/20,139.24,135.82,139,135.99,7686835
22/09/20,138.99,136.57,137.07,138.31,11013242
21/09/20,137.24,135.29,136.5,137.07,15700245
18/09/20,137.53,134.75,136.44,135.29,18124285
17/09/20,137.57,135.02,135.43,136.69,12291905
16/09/20,138.68,136.05,138.41,136.26,9273405
15/09/20,139.08,136.68,138.23,137.36,10065154
14/09/20,141.1,135.88,136.14,137.32,15187066
11/09/20,138.44,135.55,137.05,136.7,9588878
10/09/20,140.54,136.59,140.06,136.81,11196376
09/09/20,142.61,139.45,140.09,139.89,11168450
08/09/20,141.9,138.26,141.41,138.45,11232656
04/09/20,145.04,140.1,144.02,142.83,11246616
03/09/20,149.6,141.81,146.7,144.54,15761694
02/09/20,151.33,145.61,151.25,147.68,17042512
01/09/20,149.59,140.05,141.2,147.59,35197349
31/08/20,138.89,135.53,137.48,138.85,14876406
28/08/20,141.07,137.84,141,140.3,21229446
27/08/20,139.35,130.9,131.08,136.63,39170257
26/08/20,130.88,129.7,130.21,130.7,6231982
25/08/20,131.24,129.67,130.8,130.63,7220754
24/08/20,132.48,130.33,132.25,131.33,6521383
21/08/20,132.67,130.1,130.55,131.63,8122046
20/08/20,132.07,130.05,131.21,130.57,8884401
19/08/20,134.66,131.85,134.21,132.41,12664141
18/08/20,137.63,133.17,136.17,134.71,26662892
17/08/20,136.13,133.85,134.35,135.6,12721575
14/08/20,132.97,131.63,132.34,132.6,6671007
13/08/20,131.96,130.73,131.21,131.85,6588367
12/08/20,132.23,129.08,130.47,131.89,6334740
11/08/20,132.87,129.73,132.59,130.2,8430741
10/08/20,132.34,129.65,130.24,131.88,5841097
07/08/20,130.46,129.11,129.58,129.97,5380121
06/08/20,130.23,129.03,129.13,129.35,4818016
05/08/20,130.75,128.83,130.45,129.81,8482426
04/08/20,131.71,128.94,129.65,131.64,5863118
03/08/20,130.12,128.27,129.91,129.3,4982869
31/07/20,130.09,127.62,129.65,129.4,7163661
30/07/20,130.42,128.72,129.42,130.12,4562933
29/07/20,131.86,129.85,131.56,130.69,4718533
28/07/20,132.38,130.92,131.5,131.76,4786689
27/07/20,131.98,130.86,130.86,131.21,4388366
24/07/20,132.4,130.51,130.95,131.24,4300294
23/07/20,133.15,131.31,133,131.64,5573420
22/07/20,133.03,131.19,132.57,132.66,5388177
21/07/20,133.99,131.45,131.56,132.33,7213505
20/07/20,132.74,131.14,131.96,131.47,6080969
17/07/20,133.37,131.47,133.37,131.74,6023302
16/07/20,132.73,131.24,132.05,132.2,5829154
15/07/20,134.13,130.8,132.27,132,10513628
14/07/20,132.5,129.03,129.28,132.01,8818555
13/07/20,133.63,128.89,131.33,129.52,14035826
10/07/20,131.37,127.26,128.74,130.68,14531853
09/07/20,128.18,124.95,125.61,127.75,14257238
08/07/20,128.13,124.4,128,124.44,17270243
07/07/20,127.55,118.22,118.45,126.95,30817871
06/07/20,119.87,118.22,119.8,118.89,7202166
02/07/20,120.88,118.86,120.09,119.21,5886199
01/07/20,119.92,118.66,119.45,119.69,6577921