wage,female,nonwhite,union,education,exper,age
19,F,N,N,14,18,38
5,M,W,N,12,35,53
8.199999809,F,W,N,12,33,51
5.050000191,M,W,N,16,17,39
4.75,F,W,N,12,1,19
9.789999962,M,W,M,12,21,39
25.43000031,F,W,N,18,17,41
23.09000015,F,W,N,20,17,43
14.43999958,M,W,N,12,43,61
24.03000069,M,W,N,14,36,56
6.920000076,M,W,N,12,26,44
9.329999924,M,W,N,16,4,26
8.079999924,F,W,M,12,24,42
4.5,F,W,N,11,1,18
12,M,W,N,9,23,38
8.75,M,W,N,12,17,35
5.800000191,M,W,N,12,3,21
16,M,W,N,16,7,29
8,M,W,N,12,8,26
17.68000031,F,W,M,16,33,55
10,M,W,N,14,32,52
19,F,N,N,14,18,38
11.31999969,M,W,N,12,13,31
6.880000114,F,W,N,12,16,34
12.5,F,W,N,12,25,43
9,F,W,N,12,23,41
5.050000191,M,W,N,16,17,39
9.25,M,W,N,12,28,46
5.820000172,M,N,N,12,11,29
5.510000229,F,W,N,12,22,40
5.25,F,N,N,12,3,21
11,M,W,N,12,7,25
35.38000107,M,W,N,16,16,38
8.869999886,M,W,N,14,25,45
6.880000114,M,W,N,7,39,52
4.900000095,M,W,N,16,1,23
11,M,W,N,12,29,47
7,M,W,M,12,34,52
16.82999992,F,W,N,16,25,47
14.43000031,M,W,N,18,8,32
4.25,F,W,N,12,3,21
5.25,F,W,N,16,5,27
8,M,W,N,11,5,22
12,F,W,N,18,3,27
7,M,W,N,12,6,24
14.84000015,F,W,N,12,44,62
7,F,W,N,12,16,34
20,M,W,N,20,31,57
18.60000038,F,W,N,16,4,26
5,F,W,N,12,38,56
9.609999657,F,W,N,12,13,31
18,F,W,N,18,9,33
18,M,W,M,12,17,35
6.650000095,F,W,N,12,23,41
13,M,W,M,12,13,31
9.319999695,M,W,N,12,11,29
19.21999931,M,W,N,16,14,36
2.900000095,F,W,M,12,23,41
13.64999962,M,W,N,12,17,35
14.43000031,M,W,N,18,17,41
6,M,W,N,12,45,63
4,F,W,N,12,35,53
7.559999943,F,W,N,14,6,26
12.02999973,M,N,N,12,8,26
9.229999542,F,N,N,12,10,28
14.42000008,F,W,N,14,13,33
18.20000076,F,W,N,12,18,36
10,M,W,N,12,31,49
21.46999931,M,W,N,16,8,30
8,F,W,N,12,41,59
5,F,W,N,12,10,28
25,M,W,M,18,33,57
9.470000267,F,W,N,12,24,42
5,M,W,N,12,35,53
9.520000458,F,W,N,12,44,62
23.17000008,M,W,N,12,37,55
10,F,W,N,12,4,22
5,F,W,N,12,15,33
19.25,F,N,N,12,15,33
8,M,W,N,14,16,36
7,F,W,N,12,24,42
6.039999962,F,W,N,12,21,39
12,M,W,N,12,30,48
6.050000191,F,N,N,12,4,22
4.400000095,F,N,N,10,17,33
16.67000008,F,W,N,14,11,31
7.550000191,M,W,N,16,9,31
8.75,M,W,N,12,6,24
9.619999886,F,W,N,14,5,25
14.64000034,F,W,N,14,12,32
15.84000015,F,W,N,16,8,30
5,M,W,N,12,13,31
33.33000183,M,W,N,16,7,29
27.46999931,M,W,N,16,25,47
14.43000031,M,W,N,12,30,48
12,M,W,N,12,24,42
6.199999809,F,W,N,12,26,44
5.75,F,W,N,12,5,23
4.380000114,F,N,N,12,23,41
14.43999958,M,W,N,12,43,61
9.090000153,F,W,N,12,16,34
12.02999973,M,W,M,10,34,50
9,M,W,N,12,6,24
18,M,W,N,12,22,40
8,M,W,M,12,12,30
6.25,F,N,N,12,13,31
28.84000015,M,W,N,18,15,39
8.430000305,M,N,M,12,22,40
18.15999985,F,W,M,14,32,52
14.5,F,N,M,16,23,45
7,F,W,N,12,16,34
17.29999924,M,W,N,12,32,50
5,F,W,N,12,38,56
6.25,F,W,N,12,12,30
8,M,W,N,12,13,31
9.5,M,W,N,12,18,36
5.5,F,W,N,12,37,55
20,M,W,N,16,4,26
14.96000004,M,W,N,16,9,31
9.300000191,F,W,N,12,24,42
6.75,F,W,N,12,34,52
25.63999939,M,W,N,16,29,51
12.13000011,F,W,N,12,23,41
11.53999996,M,W,N,18,32,56
9,F,W,N,12,26,44
6.429999828,F,W,N,12,35,53
9.239999771,M,W,N,16,21,43
13,M,W,N,10,29,45
19.25,M,W,M,12,22,40
5.199999809,F,W,N,12,4,22
7.070000172,M,W,M,16,4,26
5.5,F,N,N,16,10,32
8,M,W,N,12,6,24
6.739999771,F,N,N,12,20,38
5,F,W,N,12,29,47
26.92000008,M,W,N,18,11,35
23.07999992,M,W,N,12,16,34
16.35000038,M,W,M,12,34,52
7,F,W,N,12,1,19
13.75,M,W,N,12,36,54
19.22999954,F,W,N,16,27,49
19.70000076,M,W,N,12,33,51
13.43999958,F,N,M,12,16,34
4.650000095,M,W,N,12,35,53
15,M,W,N,12,34,52
28.35000038,M,W,N,16,34,56
19.25,F,W,N,12,22,40
6.349999905,F,W,N,12,44,62
16.82999992,F,W,N,18,28,52
8.68999958,F,W,N,12,21,39
10.13000011,F,W,N,16,2,24
11.18999958,F,W,N,16,29,51
22.76000023,M,W,N,16,14,36
13,M,W,N,10,29,45
15.10000038,M,W,N,16,16,38
15.63000011,M,W,N,18,7,31
13.84000015,M,W,N,16,11,33
8.649999619,M,W,N,12,22,40
9.020000458,M,W,N,12,25,43
5.5,F,W,N,12,13,31
14.89999962,M,W,N,16,9,31
5,F,W,N,12,3,21
7,F,N,M,7,21,34
18,F,N,M,16,9,31
8.75,F,W,N,9,48,63
6.25,F,W,N,12,44,62
14.15999985,F,W,N,16,9,31
6,F,W,N,12,4,22
13,M,W,N,10,29,45
8,M,W,N,12,6,24
28.37999916,M,W,N,14,31,51
7.5,M,W,N,12,2,20
25.39999962,F,W,N,18,18,42
17.63999939,F,W,N,12,13,31
10.32999992,F,W,N,12,42,60
16.29999924,M,W,M,12,21,39
11.25,F,W,M,11,40,57
10,M,W,N,16,37,59
7.210000038,F,W,N,12,20,38
7.210000038,F,W,N,12,20,38
16,M,W,N,12,22,40
24.03000069,M,W,M,16,36,58
20.20000076,M,W,N,12,31,49
14.69999981,F,W,N,14,22,42
12.02999973,F,W,N,12,6,24
7.5,M,N,N,7,14,27
8.5,M,W,N,9,7,22
5.5,F,W,N,12,33,51
19.22999954,M,W,N,18,27,51
8.029999733,F,W,N,7,38,51
9.050000191,F,W,N,12,27,45
9.630000114,M,W,N,12,15,33
4.25,F,W,N,10,5,21
5.820000172,M,N,N,12,11,29
2.099999905,F,W,N,18,27,51
5,M,W,N,12,3,21
16.82999992,M,N,N,12,27,45
7,F,W,N,16,8,30
7,M,W,N,12,6,24
17.95999908,F,W,N,16,7,29
15,M,W,N,16,8,30
4.5,F,N,N,12,27,45
19.22999954,F,W,N,16,27,49
11,M,W,N,12,15,33
4.349999905,F,W,N,12,7,25
18.45000076,M,W,N,12,35,53
5,F,W,M,12,17,35
4.5,F,W,N,11,1,18
13.44999981,M,W,N,16,4,26
4.440000057,M,N,N,12,6,24
8.869999886,M,W,N,14,25,45
27.46999931,M,W,N,16,25,47
6.659999847,F,W,N,12,40,58
10.10000038,M,N,M,16,4,26
42.72999954,M,W,N,20,13,39
6,M,W,N,12,22,40
6.78000021,F,W,N,12,2,20
5,F,N,N,12,7,25
19.22999954,F,W,N,16,27,49
12.5,M,W,N,12,29,47
7,M,W,N,7,17,30
5.5,F,W,N,12,1,19
6,F,W,N,14,36,56
4.5,F,N,N,12,27,45
8.5,M,W,N,12,25,43
15,F,W,N,14,14,34
4.800000191,F,W,N,10,35,51
18,M,W,N,12,34,52
4.329999924,M,W,N,18,7,31
15,M,W,M,12,15,33
7.5,M,N,N,11,2,19
10,F,W,N,12,9,27
8.649999619,M,W,N,12,14,32
6.940000057,F,N,N,14,26,46
17.32999992,F,W,N,12,26,44
8,M,W,N,9,22,37
4.489999771,F,N,M,10,31,47
9.819999695,F,W,N,18,26,50
7.150000095,M,W,N,14,4,24
6.050000191,F,W,N,11,21,38
5.599999905,M,W,N,12,7,25
9,M,W,N,12,11,29
8.840000153,M,W,N,16,0,22
17,M,W,M,14,27,47
9.5,M,W,N,12,6,24
11.25,F,W,N,12,9,27
19.22999954,M,W,N,7,32,45
18.70000076,F,W,N,16,11,33
4.329999924,F,W,N,11,26,43
5.300000191,F,W,N,12,15,33
11,M,W,N,12,16,34
5,F,W,N,12,9,27
5,F,W,N,12,43,61
5,F,W,N,12,9,27
7.739999771,M,W,N,12,14,32
6,M,W,N,7,24,37
7.699999809,M,W,M,12,45,63
48.08000183,F,W,N,16,20,42
23.09000015,F,W,N,20,17,43
9,M,W,N,18,36,60
7,F,W,N,12,16,34
13.64000034,M,W,N,14,21,41
12,M,W,M,11,32,49
12.02999973,F,W,N,12,12,30
7.099999905,M,W,N,9,28,43
6.349999905,F,W,N,12,15,33
14.43000031,F,N,N,16,5,27
7.070000172,F,N,M,12,12,30
9.300000191,F,W,N,12,24,42
7,F,W,N,12,13,31
11.35000038,F,W,N,7,35,48
5,F,W,N,12,10,28
21.46999931,M,W,N,16,8,30
8,M,W,N,12,5,23
4.25,F,W,N,10,5,21
18,F,W,N,16,17,39
17.5,F,W,N,18,38,62
8.56000042,F,W,N,12,12,30
5.449999809,F,W,N,12,39,57
8.5,M,W,N,14,6,26
4.25,M,W,N,14,7,27
15.68000031,F,W,M,16,21,43
4.329999924,F,W,N,11,26,43
16.82999992,M,W,N,12,42,60
19,M,W,N,12,21,39
6,M,W,N,12,5,23
11,M,W,N,14,25,45
9.520000458,F,W,N,12,44,62
10.80000019,F,W,N,12,16,34
15.35000038,M,W,N,12,23,41
6,F,N,N,12,3,21
17,M,W,M,12,38,56
8,M,W,N,12,4,22
12,F,N,N,12,19,37
32.93000031,M,N,N,20,13,39
11.5,F,N,M,16,29,51
13,M,W,N,16,5,27
16.03000069,M,W,N,12,12,30
7.449999809,F,W,N,12,30,48
6.5,F,W,N,12,1,19
4.25,F,W,N,12,5,23
10,F,W,M,12,7,25
18.87000084,M,W,N,14,14,34
9.229999542,F,N,N,12,10,28
18.21999931,F,W,N,18,5,29
12,M,W,N,12,30,48
6.909999847,M,W,N,12,24,42
8,F,N,N,12,9,27
5.25,F,W,N,12,9,27
6.75,F,W,N,12,22,40
10.25,F,W,N,12,11,29
17.45000076,F,W,N,12,23,41
15.43000031,F,N,N,12,31,49
8,M,W,N,14,16,36
5,F,N,N,12,6,24
6,M,W,N,14,3,23
9.220000267,M,W,N,12,30,48
17.29999924,F,W,N,12,44,62
6.150000095,F,W,N,12,3,21
5,M,N,N,12,7,25
33.33000183,M,W,N,16,7,29
8,M,W,N,11,5,22
5.75,F,W,N,10,2,18
11.68000031,F,W,N,12,19,37
16.5,M,W,N,16,12,34
5.5,F,W,N,12,13,31
12.19999981,F,W,N,12,15,33
8,M,W,N,12,47,65
12,F,N,M,12,24,42
4.25,F,W,N,12,6,24
8.75,M,W,N,12,17,35
8,M,W,N,12,5,23
6,F,W,N,12,16,34
7,M,N,M,14,38,58
4.25,F,W,N,7,35,48
5.599999905,M,W,N,12,7,25
21.62999916,F,W,N,16,11,33
7.5,F,N,N,12,16,34
11.77999973,M,W,N,12,41,59
12,F,W,N,18,3,27
2.079999924,F,N,N,12,9,27
5,F,W,N,12,37,55
12,M,W,M,12,30,48
19.28000069,M,W,N,12,15,33
18,M,W,N,12,22,40
21.14999962,F,N,N,16,19,41
21.15999985,M,W,N,16,9,31
6.349999905,F,W,N,12,21,39
13,F,W,N,12,33,51
16,M,W,N,16,7,29
7.5,F,W,N,12,11,29
5.5,M,W,N,16,8,30
28.85000038,M,N,N,12,20,38
11,M,W,N,14,28,48
14.48999977,M,W,M,12,33,51
4.699999809,M,W,N,16,1,23
17.29999924,M,N,N,18,4,28
6.75,M,N,N,10,9,25
17,M,W,N,16,30,52
8,F,W,N,12,6,24
12.5,F,N,N,12,42,60
13.75,M,W,M,12,40,58
17.32999992,F,W,N,12,26,44
6.5,F,W,N,10,42,58
7,F,N,M,12,7,25
5.25,F,N,N,12,3,21
12,M,W,N,16,15,37
48.08000183,F,W,N,16,20,42
8.520000458,F,W,N,10,16,32
13.75,F,W,N,16,9,31
9.239999771,M,W,N,16,21,43
14.89999962,M,W,N,16,9,31
4.860000134,M,W,M,7,52,65
9,F,N,N,12,9,27
12.43000031,M,W,N,12,7,25
9.930000305,M,N,M,12,13,31
5.900000095,F,N,N,12,13,31
12.5,F,W,N,16,19,41
16.67000008,F,W,N,14,11,31
13.68999958,F,N,N,12,20,38
8,F,N,N,12,9,27
20.20000076,M,W,N,16,6,28
5.820000172,M,N,N,12,11,29
12,F,W,N,14,20,40
13.64999962,M,W,N,12,17,35
7.320000172,M,W,N,12,2,20
4.25,M,N,N,12,3,21
13.64999962,M,W,N,7,35,48
17,F,W,N,12,38,56
20.20000076,M,W,N,12,16,34
17.29999924,F,W,M,16,37,59
12.40999985,M,W,M,12,8,26
15,M,W,N,12,32,50
19.22999954,M,W,N,20,12,38
6.599999905,M,W,N,14,10,30
5,F,W,N,12,9,27
18.29000092,F,W,M,12,30,48
5.5,F,W,N,12,13,31
14.96000004,M,W,N,16,9,31
15.59000015,M,W,N,12,36,54
6.150000095,M,W,N,12,5,23
11,M,W,N,12,29,47
8.75,F,W,N,9,48,63
18,M,W,M,12,23,41
24.03000069,M,W,M,16,36,58
13,M,N,M,5,34,45
25.95000076,M,W,N,18,12,36
12.65999985,F,N,M,14,6,26
5.340000153,F,W,N,12,32,50
8,M,W,N,14,2,22
13,M,W,M,12,13,31
7.099999905,M,W,N,9,28,43
14,F,W,M,12,24,42
12.5,F,W,N,18,0,24
5,M,W,N,16,21,43
5.25,F,N,N,12,3,21
8.25,M,W,N,12,15,33
16,F,W,N,12,44,62
5,F,W,N,12,23,41
19.23999977,M,W,N,16,28,50
6.25,F,W,N,12,44,62
15,M,W,M,20,16,42
7.78000021,M,W,N,12,21,39
6.5,M,N,N,9,11,26
14.85999966,M,W,N,12,17,35
16.5,M,W,N,16,12,34
11,M,N,M,12,10,28
6,F,N,N,12,5,23
7.5,M,W,N,12,8,26
13.77999973,F,W,N,16,2,24
5,F,N,N,10,38,54
18,M,W,N,12,28,46
5.800000191,M,W,N,12,3,21
5.75,F,W,N,12,5,23
18.84000015,M,W,N,18,27,51
12.5,M,W,N,14,9,29
17.25,M,W,N,12,27,45
20.20000076,M,W,N,16,29,51
13,M,N,M,5,34,45
14.64000034,F,W,N,14,12,32
18,M,N,M,12,47,65
34.95999908,M,W,N,20,20,46
4.329999924,M,W,N,18,7,31
5,F,W,N,12,19,37
7.070000172,F,N,M,12,12,30
15.94999981,M,W,N,16,14,36
4.25,F,W,N,12,25,43
4.5,F,W,N,11,1,18
24.03000069,M,W,M,16,36,58
6.5,F,N,N,12,7,25
25.29000092,F,W,N,12,44,62
17.04999924,F,W,N,18,23,47
12.30000019,M,W,M,16,18,40
9,M,W,N,14,6,26
1.149999976,M,W,N,12,43,61
2.099999905,F,W,N,18,27,51
11.25,M,W,M,12,15,33
19.22999954,F,W,N,16,27,49
9.25,M,W,N,12,21,39
11.53999996,M,W,N,12,14,32
16.82999992,M,N,N,12,27,45
13,M,W,M,12,42,60
10,M,N,M,12,18,36
28.85000038,M,N,N,12,20,38
12.88000011,M,W,M,12,24,42
14.39999962,F,N,N,12,19,37
14.43000031,M,W,N,12,16,34
19.23999977,M,W,N,18,9,33
9.579999924,F,N,N,14,13,33
2,F,W,N,5,14,25
4,M,N,N,12,7,25
6.5,F,W,N,12,1,19
7,M,W,N,12,6,24
33.33000183,M,W,N,16,7,29
6.239999771,F,N,N,12,26,44
14.5,M,W,N,12,17,35
12.10000038,M,W,M,16,5,27
13.5,F,W,N,12,36,54
1.669999957,M,W,N,16,10,32
12,F,N,N,12,19,37
4.5,F,N,N,12,21,39
10,F,W,N,12,41,59
5.900000095,F,W,N,12,31,49
9.56000042,F,W,N,12,34,52
5.199999809,F,W,N,12,4,22
23.07999992,M,W,N,20,3,29
6.25,M,W,M,12,38,56
12.19999981,M,W,N,12,26,44
9.630000114,M,W,N,12,15,33
10.10000038,F,W,N,14,13,33
3.839999914,F,W,N,16,12,34
4.400000095,F,N,N,10,17,33
12.39999962,M,W,N,12,18,36
7.96999979,F,N,N,12,15,33
4.75,F,W,N,10,3,19
21.46999931,M,W,N,16,8,30
4.5,M,W,N,9,23,38
11,M,W,N,12,15,33
5,M,W,N,12,6,24
20,M,W,N,12,20,38
5,F,N,N,12,7,25
5,F,W,N,12,23,41
9.350000381,M,W,M,12,17,35
6.349999905,F,W,N,12,15,33
21.14999962,F,W,N,12,17,35
8,M,W,N,12,13,31
9.340000153,M,W,M,12,29,47
18.45999908,F,W,N,18,27,51
17.63999939,F,W,N,12,13,31
13.43999958,F,N,M,12,16,34
5.829999924,F,W,N,12,46,64
14.43999958,M,W,N,12,7,25
13.44999981,M,W,N,16,12,34
3.75,F,W,N,12,31,49
25.81999969,M,W,M,12,33,51
26.93000031,F,W,N,16,13,35
4.25,F,W,N,10,5,21
7.079999924,F,W,N,14,20,40
11.5,M,W,N,12,9,27
6.920000076,F,W,N,12,4,22
7.5,M,W,N,12,41,59
12.5,F,W,N,16,19,41
29.57999992,M,W,N,16,31,53
13.75,M,W,N,16,17,39
25,M,W,M,12,43,61
13.46000004,M,W,N,12,19,37
9.300000191,F,W,N,12,20,38
17.45000076,M,W,N,12,23,41
4.5,F,W,N,1,26,33
6,F,N,N,12,3,21
7,F,W,N,12,27,45
9.5,F,W,N,12,17,35
17.86000061,F,W,M,18,20,44
17.5,F,W,N,18,38,62
14.43000031,F,W,M,18,21,45
22.72999954,F,W,M,16,42,64
13.43999958,F,N,M,12,16,34
6.659999847,F,W,N,12,40,58
9,F,W,N,18,14,38
13,F,W,N,14,12,32
23.54999924,M,W,N,18,26,50
10,M,W,N,10,32,48
21.14999962,F,N,N,16,19,41
18,M,W,N,12,22,40
5,F,N,N,12,6,24
15.89000034,F,W,N,16,24,46
14.43000031,M,W,N,18,8,32
7.840000153,F,W,N,12,33,51
5.75,F,W,N,12,22,40
9.090000153,F,W,N,12,16,34
13.75,F,W,N,14,8,28
12.18000031,M,W,M,16,9,31
9.5,M,W,N,12,20,38
10,M,W,N,10,32,48
15.38000011,M,W,N,11,24,41
8.600000381,F,N,N,12,17,35
2.079999924,F,N,N,12,9,27
8,M,N,M,12,6,24
38.45999908,M,W,N,16,18,40
7.25,F,W,N,12,2,20
4.25,F,W,N,12,1,19
19.70000076,M,W,N,12,33,51
9.619999886,M,N,N,12,21,39
7.25,M,W,N,12,4,22
25,M,W,M,12,24,42
11.75,M,W,N,16,10,32
18,M,W,N,12,22,40
11.52999973,F,W,N,18,29,53
9.090000153,F,W,N,12,16,34
12.5,M,W,N,12,12,30
13,M,W,M,12,21,39
17,M,W,N,16,30,52
7.739999771,M,W,N,12,14,32
8,M,W,N,14,4,24
12.97999954,F,N,N,14,17,37
7,M,W,N,7,17,30
5.099999905,M,W,N,5,36,47
9.25,M,W,N,12,21,39
6.78000021,F,W,N,12,2,20
13.35000038,M,W,M,16,20,42
6.519999981,M,W,N,12,46,64
5.75,M,W,N,11,5,22
19.25,F,N,N,12,15,33
9.380000114,F,N,N,18,9,33
6.880000114,M,W,N,7,39,52
6.670000076,M,W,N,10,37,53
5,M,W,M,12,9,27
14.43999958,M,W,N,12,7,25
5,M,N,N,12,12,30
9.470000267,F,W,N,12,24,42
13.77999973,F,W,N,16,2,24
4.25,M,W,N,11,19,36
29.90999985,M,W,N,18,22,46
11,M,N,N,12,15,33
9,M,W,N,12,15,33
17,M,W,M,12,38,56
9.56000042,F,W,N,12,34,52
10.10000038,M,N,N,12,11,29
3.839999914,F,W,N,16,27,49
11,M,W,N,12,17,35
12.88000011,M,W,M,12,24,42
31.25,M,W,N,14,20,40
6.050000191,F,N,N,12,4,22
2.099999905,F,W,N,18,27,51
17.32999992,F,W,N,12,26,44
25.47999954,F,W,M,18,30,54
5,F,W,N,12,20,38
43.25,M,W,N,18,13,37
11.25,F,W,N,16,4,26
8,M,W,N,12,5,23
33,M,W,N,12,47,65
13.55000019,F,W,M,16,24,46
18.29000092,F,W,M,12,30,48
6.800000191,M,N,N,12,2,20
15.88000011,F,N,N,12,15,33
13,F,W,M,11,33,50
14.43999958,M,W,N,12,43,61
28.82999992,F,W,N,14,20,40
49.45999908,M,W,N,16,23,45
8.430000305,M,N,M,12,22,40
11.63000011,M,W,N,12,23,41
1.669999957,F,W,N,10,45,61
15,F,W,N,12,15,33
16.20000076,F,W,N,16,21,43
4.380000114,F,N,N,12,23,41
6.75,F,W,N,11,12,29
7,F,N,N,10,37,53
9.5,F,W,N,12,43,61
10.93000031,F,W,N,12,17,35
18.75,M,W,M,12,16,34
5.829999924,F,W,N,12,46,64
20.20000076,M,N,N,16,37,59
2.079999924,F,N,N,12,9,27
10,F,W,N,16,2,24
11,M,W,N,12,29,47
4.75,M,W,N,11,1,18
13.19999981,F,W,N,16,15,37
4.5,M,W,N,12,4,22
8.649999619,M,W,N,12,13,31
4.25,F,W,N,7,35,48
14.42000008,F,W,N,14,13,33
10.30000019,M,W,N,12,32,50
12.5,F,W,M,14,30,50
5,F,W,N,12,10,28
7.5,M,W,N,12,16,34
20.20000076,M,W,N,12,31,49
8,M,W,M,12,12,30
16.25,F,W,N,16,13,35
7.5,M,W,N,12,8,26
17.29999924,F,W,M,16,37,59
20.25,M,W,N,16,22,44
17.29999924,M,W,N,18,20,44
6.78000021,F,W,N,12,2,20
24.03000069,M,N,N,20,32,58
17.29999924,M,W,N,12,32,50
7.059999943,F,N,N,12,12,30
12.18000031,M,W,M,16,9,31
6.5,F,W,N,16,4,26
21.62999916,M,W,N,16,12,34
6.5,F,N,N,9,21,36
18,M,N,M,16,17,39
9,F,W,N,12,23,41
6,F,N,N,12,35,53
5,M,W,N,12,2,20
5,M,W,N,9,9,24
11.05000019,F,W,N,14,31,51
4.25,F,W,N,7,35,48
7.150000095,M,W,N,12,1,19
25,M,N,N,20,2,28
11,F,W,N,12,21,39
8.710000038,F,W,N,12,17,35
22.21999931,M,W,N,12,20,38
6.5,M,W,N,11,6,23
25.47999954,M,W,N,12,16,34
14,M,W,M,12,18,36
18.15999985,F,W,M,14,32,52
8.960000038,F,W,M,12,41,59
14.43000031,F,N,N,12,29,47
6.5,F,W,N,12,28,46
17.63999939,F,W,N,12,13,31
12,M,W,N,14,9,29
7,F,W,N,16,3,25
16,M,W,N,16,7,29
6,F,W,N,16,1,23
12.19999981,F,W,N,12,15,33
9.260000229,M,W,N,16,26,48
6.75,F,W,N,12,34,52
4,M,N,N,12,7,25
10,M,W,N,12,6,24
6.25,M,W,N,12,22,40
4.5,M,W,N,12,4,22
11.77000046,M,W,M,12,36,54
13,M,N,N,12,44,62
9.539999962,F,W,N,12,27,45
6.5,F,W,N,12,1,19
17.28000069,F,W,M,16,43,65
7.5,M,N,M,16,25,47
4.25,M,W,N,11,19,36
5.900000095,F,N,N,12,13,31
9.789999962,M,W,M,12,21,39
10,F,W,N,12,9,27
14.10000038,M,N,M,16,11,33
5,M,W,N,12,35,53
8.649999619,M,W,N,14,24,44
6,M,W,N,12,5,23
9.56000042,F,W,N,12,34,52
18.70000076,F,W,N,16,11,33
11.18999958,F,W,N,16,29,51
7.179999828,F,W,M,12,21,39
10.21000004,F,W,M,12,12,30
18.45999908,M,W,M,16,30,52
15,F,W,N,16,29,51
5.099999905,F,W,N,12,34,52
26.92000008,M,W,N,16,31,53
12.97999954,M,W,N,12,45,63
4.380000114,F,N,N,12,23,41
11,M,W,M,12,30,48
6.150000095,M,W,N,12,21,39
11.5,F,W,N,12,22,40
10.15999985,M,W,N,12,25,43
19.70000076,M,W,N,12,33,51
14,F,W,N,12,33,51
14.43000031,F,W,N,20,2,28
22.12999916,M,W,N,16,28,50
6.739999771,F,N,N,12,20,38
25.39999962,F,W,N,18,18,42
6.880000114,M,W,N,7,39,52
38.75,F,W,N,16,7,29
5,M,W,N,12,2,20
13.64000034,M,W,N,12,17,35
12.97999954,M,W,M,12,37,55
7,F,W,N,12,1,19
8,M,W,N,12,5,23
28.85000038,F,W,N,16,10,32
13.5,M,W,N,16,3,25
19,F,N,N,12,30,48
8.649999619,F,W,N,16,10,32
22.15999985,M,W,N,12,40,58
5,F,W,N,12,19,37
8.649999619,M,W,N,12,14,32
12.88000011,M,W,M,12,24,42
3.079999924,M,N,N,12,11,29
8,M,N,N,12,24,42
21,F,W,N,14,25,45
10.35000038,M,W,N,12,4,22
14.47999954,F,W,N,18,12,36
6.75,M,W,N,12,17,35
16.15999985,F,W,M,16,17,39
38.45000076,F,W,N,12,32,50
38.45999908,M,W,N,16,23,45
9.340000153,M,W,M,12,29,47
25,F,W,N,18,35,59
13,F,W,N,14,31,51
5.5,F,W,N,12,25,43
7.5,M,W,N,12,8,26
9.5,M,W,N,12,14,32
17.86000061,F,W,M,18,20,44
13.5,M,W,N,16,3,25
19.22999954,M,W,N,7,32,45
4.449999809,F,W,N,11,1,18
14,M,N,N,12,26,44
8,M,W,N,12,8,26
6,M,W,N,12,45,63
6.5,F,N,N,12,7,25
12.97999954,F,W,N,16,26,48
8,M,W,N,12,6,24
7.150000095,M,W,N,12,1,19
6,F,W,M,12,3,21
5,F,N,N,11,39,56
10.10000038,M,W,N,12,30,48
19,F,N,N,14,18,38
15,M,W,N,12,24,42
23.95000076,M,W,M,16,40,62
5,F,N,N,12,7,25
24.46999931,F,W,N,16,33,55
8.5,M,W,N,9,7,22
38.45999908,M,W,N,16,31,53
7.300000191,F,W,N,16,17,39
5.5,F,W,N,12,23,41
10,M,W,N,12,19,37
17.63999939,F,W,N,12,13,31
50,F,W,N,10,36,52
17.75,M,W,N,18,9,33
6.75,M,N,N,10,9,25
4.25,F,W,N,12,1,19
11,M,W,N,12,3,21
6,F,W,N,12,4,22
25,F,W,N,18,35,59
13.69999981,M,N,N,14,27,47
8.079999924,M,W,N,12,29,47
6.920000076,F,W,N,11,28,45
6.920000076,F,W,N,1,26,33
17.04999924,F,W,N,18,23,47
5,F,W,N,12,20,38
8,M,W,N,12,5,23
18.45000076,M,W,N,12,35,53
5.510000229,F,W,N,12,22,40
5.75,M,W,N,12,3,21
6.829999924,F,W,N,16,13,35
6,F,W,M,12,5,23